,lyrics,album,year,title
47,"[Verse 1]
Brothers and sisters, listen to me
These are the few things that I leave to thee
This sword of our fathers with lessons hard-taught
This shield strong and sturdy from battles well-fought

[Chorus]
This is your sword, this is your shield
This is the power of love revealed
Carry them with you wherever you go
And give all the love that you have in your soul

[Verse 2]
The times, they are dark, darkness covers the earth
This world’s filled with the beauty of God’s work
Hold tight to your promise, stay righteous, stay strong
For the days of miracles will come along

[Chorus]
Now this is your sword, this is your shield
This is the power of love revealed
Carry it with you wherever you go
And give all the love that you have in your soul

[Bridge]
In the days of despair, you can grow hard
Till you close your mind, and you empty your heart
If you find yourself staring in the abyss
Hold tight to your loved ones and remember this

[Verse 3]
This shield will protect your sacred heart
This sword will defend from what comes in the dark
Should you grow weary on the battlefield
Do not despair, our love is real

[Chorus]
This is your sword, this is your shield
This is the power of love revealed
Carry it with you wherever you go
And give all the love that you have in your soul
And give all the love that you have in your soul

[Outro]
Ho! Ho!",High Hopes,2014,This is Your Sword
48,"[Verse 1]
I hauled myself up out of the ditch
And built me an ark of gopherwood and pitch
Sat down by the roadside and waited on the rain
I am the hunter of invisible game

[Verse 2]
Well, I awoke last night to the heavy clicking and clack
And a scarecrow on fire along the railroad tracks
There were empty cities and burning plains
I am the hunter of invisible game

[Verse 3]
We all come up a little short, and we go down hard
These days, I spend my time skipping through the dark
Through the empires of dust, I chant your name
I am the hunter of invisible game

[Verse 4]
Through the boneyard rattle and black smoke, we rolled on
Down into the valley where the beast has his throne
There I sing my song, and I sharpen my blade
I am the hunter of invisible game

[Verse 5]
Strength is vanity, and time is illusion
I feel you breathing, the rest is confusion
Your skin touches mine, what else to explain?
I am the hunter of invisible game

[Verse 6]
Now pray for yourself and that you may not fall
When the hour of deliverance comes on us all
When our hope and faith and courage and trust
Can rise or vanish like dust into dust
There's a kingdom of love waiting to be reclaimed
I am the hunter of invisible game

[Outro]
I am the hunter of invisible game
I am the hunter of invisible game",High Hopes,2014,Hunter of Invisible Game
49,"[Verse 1: Bruce Springsteen]
Men walking along the railroad tracks
Going someplace, there's no going back
Highway patrol choppers coming up over the ridge
Hot soup on a campfire under the bridge
Shelter line stretching around the corner
Welcome to the new world order
Families sleeping in their cars in the southwest
No home, no job, no peace, no rest

[Chorus: Bruce Springsteen]
Well, the highway is alive tonight
But nobody's kidding nobody about where it goes
I'm sitting down here in the campfirе light
Searching for the ghost of Tom Joad

[Verse 2: Tom Morello]
He pulls a prayеr book out of his sleeping bag
Preacher lights up a butt and takes a drag
Waiting for when the last shall be first and the first shall be last
In a cardboard box 'neath the underpass
You got a one-way ticket to the promised land
You got a hole in your belly and a gun in your hand
Sleeping on a pillow of solid rock
Bathing in the city's aqueduct
[Chorus: Both]
(Yeah!)
Well, the highway is alive tonight
Where it's headed, everybody knows
I'm sitting down here in the campfire light
Waiting on the ghost of Tom Joad

[Guitar Solos]

[Verse 3: Bruce Springsteen, ]
Now Tom said, ""Mom, wherever there's a cop beating a guy
Wherever a hungry newborn baby cries
Where there's a fight against the blood and hatred in the air
Look for me, Mom, I'll be there

(Yeah!)

[Chorus: Both]
Well, the highway is alive tonight
Where it's headed, everybody knows
I'm sitting down here in the campfire light
With the ghost of old Tom Joad
Well, the highway is alive tonight
But nobody's kidding nobody about where it goes
I'm sitting down here in the campfire light
With the ghost of old Tom Joad
With the ghost of old Tom Joad
With the ghost of old Tom Joad

[Outro guitar solo]",High Hopes,2014,The Ghost of Tom Joad - Electric Version
50,"[Verse 1]
Cigarettes and a bottle of beer
This poem that I wrote for you
This black stone and these hard tears
Are all I got left now of you
I remember you in your Marine uniform laughing
Laughing at your ship-out party
I read Robert McNamara says he's sorry

[Verse 2]
Your high boots and striped t-shirt
Ah, Billy, you looked so bad
Yeah, you and your rock-n-roll band
You were best thing this shit town ever had
Now the men who put you here
Eat with their families in rich dining halls
And apology and forgiveness got no place here at all
At the wall

[Verse 3]
But I'm sorry I missed you last year
Couldn't find no one to drive me
If your eyes could cut through that black stone
Tell me would they recognize me?
For the living, time, it must be served
The day goes on
Cigarettes and a bottle of beer
Skin on black stone

[Verse 4]
On the ground, dog tags and wreaths of flowers
With ribbons red as the blood
Red as the blood you spilled in the Central Highlands mud
Limousines rush down Pennsylvania Avenue
Rustling the leaves as they fall
And apology and forgiveness got no place here at all
Here at the wall",High Hopes,2014,The Wall
51,"[Intro]
Dream, baby, dream
Dream, baby, dream
Dream, baby, dream
Come on and dream, baby, dream
Come on and dream, baby, dream

[Verse 1]
We got to keep the light burning
Come on, we gotta keep the light burning
Come on, we gotta  keep the light burning
Come on, we gotta  keep the light burning
Come on and dream, baby, dream

[Verse 2]
Gotta keep the fire burning
Come on, gotta keep the fire burning
Come on, we gotta keep the fire burning
Come on and dream, baby, dream

[Verse 3]
Come open up your heart
Come on and open up your heart
Come on and open up your heart
Come on, dream on, dream, baby, dream

[Verse 3]
Come on and open up your heart
Come on and open up your heart
Come on and open up your heart
Come on, dream on, dream, baby, dream

[Verse 4]
Come on, we gotta keep on dreaming
Come on, we gotta  keep on dreaming
Come on, we gotta keep on dreaming
Come on, dream on, dream, baby, dream

[Verse 5]
Come on, darling, and dry your eyes
Come on, baby, and dry your eyes
Come on, baby, and dry your eyes
Come on, dream on, dream, baby, dream

[Verse 6]
Yeah, I just want to see you smile
Now I just want to see you smile
Yeah, I just want to see you smile
Come on, dream on, dream, baby, dream

[Verse 3]
Come on and open up your heart
Come on and open up your heart
Come on and open up your heart
Come on, dream on, dream, baby, dream

[Verse 4]
Yeah, I just want to see you smile
Now I just want to see you smile
Yeah, I just want to see you smile
Come on, dream on, dream, baby, dream

[Verse 6]
Yeah, I just want to see you smile
Yeah, I just want to see you smile
Yeah, I just want to see you smile
Come on, dream on, dream, baby, dream

[Verse 3]
Come on and open up your heart
Come on and open up your heart
Come on and open up your heart
Come on, dream on, dream, baby, dream

[Outro]
Come on, dream on, dream on, baby
Come on, dream on, dream on, baby
Come on, dream on, dream on, baby
Come on, dream on, dream, baby, dream",High Hopes,2014,Dream Baby Dream
52,"I been knocking on the door that holds the throne
I been looking for the map that leads me home
I been stumbling on good hearts turned to stone
The road of good intentions has gone dry as a bone

[Chorus]
We take care of our own
We take care of our own
Wherever this flag's flown
We take care of our own

From Chicago to New Orleans, from the muscle to the bone
From the shotgun shack to the Superdome
There ain't no help, the cavalry stayed home
There ain't no one hearing the bugle blowin'

[Chorus]
We take care of our own
We take care of our own
Wherever this flag's flown
We take care of our own

[Bridge]
Where're the eyes, the eyes with the will to see
Where're the hearts that run over with mercy
Where's the love that has not forsaken me
Where's the work that set my hands, my soul free
Where's the spirit that'll reign, reign over me
Where's the promise from sea to the shining sea
Where's the promise from sea to the shining sea
Wherever this flag is flown
Wherever this flag is flown
Wherever this flag is flown
[Chorus]
We take care of our own
We take care of our own
Wherever this flag's flown
We take care of our own

We take care of our own
We take care of our own
Wherever this flag's flown
We take care of our own",Wrecking Ball,2012,We Take Care of Our Own
53,"[Chorus]
If you put on your coat, I’ll put on my hat
If you put out the dog, I’ll put out the cat
If you put on your red dress for me tonight, honey
We’re going on the town now, looking for easy money

[Verse]
There’s nothing to it, mister, you won’t hear a sound
When your whole world comes tumbling down
And all them fat cats, they’ll just think it’s funny
I’m going on the town now, looking for easy money

[Verse]
I got a Smith & Wesson 38
I got a hellfire burning and I got me a date
Got me a date on the far shore where it’s bright and sunny
I’m going on the town tonight, looking for easy money

[Chorus]
If you put on your coat, I’ll put on my hat
If you put out the dog, I’ll put out the cat
If you put on your red dress, you're looking real good, honey
We’re going on the town now, looking for easy money
We’re going on the town now, looking for easy money",Wrecking Ball,2012,Easy Money
54,"[Verse 1]
Gray morning light spits through the shade
Another day older, closer to the grave
Closer to the grave and come the dawn
I woke up this morning shackled and drawn

[Chorus]
Shackled and drawn, shackled and drawn
Pick up the rock, son, carry it on
I’m trudging through the dark in a world gone wrong
I woke up this morning shackled and drawn

[Verse 2]
I always loved the feel of sweat on my shirt
Stand back, son, and let a man work
Let a man work, is that so wrong?
I woke up this morning shackled and drawn

[Chorus]
Shackled and drawn, shackled and drawn
Pick up the rock, son, carry it on
What's a poor boy to do in a world gone wrong?
I woke up this morning shackled and drawn

[Verse 3]
Freedom's, son, a dirty shirt
The sun on my face and my shovel in the dirt
A shovel in the dirt keeps the devil gone
I woke up this morning shackled and drawn
[Chorus]
Shackled and drawn, shackled and drawn
Pick up the rock, son, carry it on
What's a poor boy to do but keep singing this song?
I woke up this morning shackled and drawn

[Verse 4]
Gambling man rolls the dice, workingman pays the bill
It’s still fat and easy up on banker’s hill
Up on banker’s hill, the party’s going strong...
Down here below, we’re shackled and drawn

[Chorus]
Shackled and drawn, shackled and drawn
Pick up the rock, son, carry it on
I’m trudging through the dark in a world gone wrong
I woke up this morning shackled and drawn

Shackled and drawn, shackled and drawn
Pick up the rock, son, carry it on
What's a poor boy to do but keep singing this song?
I woke up this morning shackled and drawn

[Outro: Cindy Mizelle]
I want everybody to stand up
I want everybody to stand up and be counted tonight
You know we got to pray together
I want you to stand up
I want everybody to stand up and be counted tonight",Wrecking Ball,2012,Shackled And Drawn
55,"[Verse 1]
I'll mow your lawn, clean the leaves out your drain
I'll mend your roof to keep out the rain
I'll take the work that God provides
I'm a Jack of all trades, honey, we'll be alright

[Verse 2]
I'll hammer the nails and I'll set the stone
I'll harvest your crops when they're ripe and grown
I'll pull that engine apart and patch her up 'til she's running right
I'm a Jack of all trades, we'll be alright

[Verse 3]
The hurricane blows, brings a hard rain
When the blue sky breaks, it feels like the world's gonna change
We'll start caring for each other like Jesus said that we might
I'm a Jack of all trades, we'll be alright

[Verse 4]
The banker man grows fat, the working man grows thin
It's all happened before and it'll happen again
It'll happen again, yeah, they'll bet your life
I'm a Jack of all trades, darling, we'll be alright

[Verse 5]
Now sometimes tomorrow comes soaked in treasure and blood
Here we stood the drought, now we'll stand the flood
There's a new world coming, I can see the light
I'm a Jack of all trades, we'll be alright

[Verse 6]
So you use what you've got and you learn to make do
You take the old, you make it new
If I had me a gun, I'd find the bastards and shoot 'em on sight
I'm a Jack of all trades, we'll be alright
I'm a Jack of all trades, we'll be alright",Wrecking Ball,2012,Jack Of All Trades
56,"[Verse 1]
Well, no cannonball did fly, no rifles cut us down
No bombs fell from the sky, no blood soaked the ground
No powder flash blinded the eye
No deathly thunder sounded

[Chorus]
But just as sure as the hand of God
They brought death to my hometown
They brought death to my hometown, boy

[Verse 2]
Now, no shells ripped the evening sky, no cities burning down
No army stormed the shores for which we’d die
No dictators were crowned
I awoke on a quiet night, I never heard a sound

[Chorus]
The marauders raided in the dark
They brought death to my hometown, boys
Death to my hometown

[Verse 3]
They destroyed our families, factories
And they took our homes
They left our bodies on the plains
The vultures picked our bones
So listen up, my sonny boy, be ready when they come
For they’ll be returning sure as the rising sun
Now get yourself a song to sing and sing it till you’re done
Sing it hard and sing it well
Send the robber barons straight to hell
The greedy thieves who came around
And ate the flesh of everything they found
Whose crimes have gone unpunished now
Who walk the streets as free men now
[Outro]
They brought death to our hometown, boys
Death to our hometown, boys
Death to our hometown, boys
Death to our hometown",Wrecking Ball,2012,Death To My Hometown
57,"[Verse 1]
Baby, I've been down, but never this down
I've been lost, but never this lost

[Chorus]
This is my confession
I need your heart
In this depression
I need your heart

[Verse 2]
Baby, I've been low, but never this low
I’ve had my faith shaken but never hopeless

[Chorus]
This is my confession
I need your heart
In this depression
I need your heart

[Verse 3]
I haven't always been strong, but never felt so weak
All of my prayers, gone for nothing
I've been without love, but never forsaken
Now the morning sun, the morning sun is breaking
[Chorus]
This is my confession
I need your heart
In this depression
I need your heart
This is my confession
I need your heart
In this depression
I need your heart
This is my confession
I need your heart
In this depression
I need your heart",Wrecking Ball,2012,This Depression
58,"I was raised outta steel
Here in the swamps of Jersey
Some misty years ago
Through the mud and the beer
The blood and the cheers
I’ve seen champions come and go
So if you’ve got the guts mister
Yeah, if you got the balls
If you think it’s your time
Then step to the line
And bring on your wrecking ball

Bring on your wrecking ball
Bring on your wrecking ball
C’mon and take your best shot
Let me see what you got
Bring on your wrecking ball

Now, my home’s here in these meadowlands
Where mosquitoes grow big as airplanes
Here where the blood is spilled
The arena’s filled and giants played their games

So raise up your glasses
And let me hear your voices call
’Cause tonight all the dead are here
So bring on your wrecking ball
Bring on your wrecking ball
Bring on your wrecking ball
C’mon and take your best shot
Let me see what you got
Bring on your wrecking ball

Yeah, we know that come tomorrow
None of this will be here
So hold tight to your anger
Hold tight to your anger
Hold tight to your anger
And don’t fall to your fears

Now, when all this steel and these stories
Drift away to rust
And all our youth and beauty
Has been given to the dust
When the game has been decided
And we're burnin’ down the clock
And all our little victories and glories
Have turned into parking lots
When your best hopes and desires
Are scattered to the wind
And hard times come and hard times go and
Hard times come and hard times go and
Hard times come and hard times go and
Hard times come and hard times go and
Hard times come and hard times go
Yeah, just to come again
Bring on your wrecking ball
Bring on your wrecking ball
C’mon and take your best shot
Let me see what you got
Bring on your wrecking ball

Bring on your wrecking ball
Bring on your wrecking ball
C’mon and take your best shot
Let me see what you got
Bring on your wrecking ball",Wrecking Ball,2012,Wrecking Ball
59,"[Verse 1]
No one ever found it
Ain't no school ever taught it
No one ever made it
Ain't no one ever bought it

[Chorus]
But baby, you’ve got it
Baby, you’ve got it
C'mon and give it to me

[Verse 2]
Ain't no one can break it
Ain't no one can steal it
Ain't no one can fake it
You just know it when you feel it

[Chorus]
But baby, you’ve got it
Baby, you’ve got it
C'mon and give it to me

[Verse 3]
You can't read it in a book
You can't even dream it
Honey, it ain’t got a name
You just know it when you see it
[Chorus]
But baby, you've got it
Yeah baby, you've got it
C'mon and give it to me

[Verse 4]
Well, now, listen up my reckless love
It's precious so don’t waste it
Can't tell you what God made it of
But I know it when I taste it

[Chorus 2]
Baby, you've got it
Yeah baby, you've got it

[Verse 5]
You got it in your bones and blood
Yeah, you're realer than real ever was

[Chorus]
Baby, you've got it
Yeah baby, you've got it
C'mon and give it to me",Wrecking Ball,2012,You've Got It
60,"[Intro: Alan Lomax]
I'm a soldier... soldier...

[Chorus: Michelle Moore]
We’ve been traveling over rocky ground, rocky ground
We’ve been traveling over rocky ground, rocky ground
We’ve been traveling over rocky ground, rocky ground
We’ve been traveling over rocky ground, rocky ground

[Verse 1: Bruce Springsteen]
Rise up, shepherd, rise up
Your flock has roamed far from the hill
The stars have faded, the sky is still
The angels are shouting “Glory hallelujah”

[Chorus: Moore]
We’ve been traveling over rocky ground, rocky ground
We’ve been traveling over rocky ground, rocky ground

[Verse 2: Springsteen]
Forty days and nights of rain washed this land
Jesus said the money changers in this temple will not stand
Find your flock, get them to higher ground
The floodwater’s rising, we’re Canaan bound

[Chorus: Moore and (Lomax)]
We’ve been traveling over rocky ground, rocky ground
We’ve been traveling over rocky ground, rocky ground
(I'm a soldier...)

[Verse 3: Springsteen]
Tend to your flock or they will stray
We’ll be called for our service come judgment day
Before we cross that river wide
The blood on our hands will come back on us twice

(I'm a soldier...)

[Verse 4]",Wrecking Ball,2012,Rocky Ground
61,"[Intro]
(Whoa, whoa-whoa, this train)
(I'm ridin' this train)
(Don't you wanna ride)
(This train, this train)
(This train, this train)
(Whoa-whoa, get on, get on, get on, get on, get on)

[Verse 1]
Grab your ticket and your suitcase
Thunder's rolling down this track
Well, you don't know where you're going now
But you know you won't be back
Well, darling if you're weary
Lay your head upon my chest
We'll take what we can carry
Yeah, and we'll leave the rest

[Chorus]
Well, big wheels roll through fields where sunlight streams
Meet me in a land of hope and dreams

[Verse 2]
Well, I will provide for you
And I'll stand by your side
You'll need a good companion now
For this part of the ride
Yeah, leave behind your sorrows
Let this day be the last
Well, tomorrow there'll be sunshine
And all this darkness past
[Chorus]
Well, big wheels roll through fields where sunlight streams
Meet me in a land of hope and dreams

[Bridge]
This train carries saints and sinners
This train carries losers and winners
This train carries whores and gamblers
This train carries lost souls
I said this train, dreams will not be thwarted
This train, faith will be rewarded
This train, hear the steel wheels singing
This train, bells of freedom ringing

[Saxophone solo]

[Verse 3]
Yes, this train carries saints and sinners
This train carries losers and winners
This train carries whores and gamblers
This train carries lost souls
I said, this train carries broken-hearted
This train, thieves and sweet souls departed
This train carries fools and kings
Oh, this train, all aboard
I said, now this train, dreams will not be thwarted
This train, faith will be rewarded
This train, the steel wheels singing
This train, bells of freedom ringing

[Verse 4]
Come on this train
People get ready
You don't need no ticket
All you gotta do is
Just get onboard
Onboard this train (This train, now)

[Outro]
People get ready
You don't need no ticket (Oh now, no, you don't)
You don't need no ticket
You just get onboard (People get ready)
You just thank the Lord (People get ready)
You just thank the Lord (People get ready)
You just thank the Lord (People get ready)
(Come on this train, people get ready)
(Come on this train, people get ready)",Wrecking Ball,2012,Land of Hope and Dreams
62,"[Verse 1]
There's a cross up yonder on Calvary Hill
There's a slip of blood on a silver knife
There's a graveyard kid down below
Where at night the dead come to life
Well above the stars they crackle and fire
A dead man's moon throws seven rings
We’d put our ears to the cold grave stones
This is the song they’d sing

[Chorus]
We are alive
And though our bodies lie alone here in the dark
Our spirits rise
To carry the fire and light the spark
To stand shoulder to shoulder and heart to heart

[Verse 2]
A voice cried I was killed in Maryland in 1877
When the railroad workers made their stand
Well, I was killed in 1963
One Sunday morning in Birmingham
I died last year crossing the southern desert
My children left behind in San Pablo
Well they’ve left our bodies here to rot
Oh please let them know
[Chorus]
We are alive
And though our bodies lie alone here in the dark
Our souls will rise
To carry the fire and light the spark
To stand shoulder to shoulder and heart to heart

[Verse 3]
Let your mind rest easy
Sleep well my friend
It’s only our bodies that betray us in the end
Well I awoke last night in the dark and dreamy deep
From my head to my feet my body’s gone stone cold
There were worms crawling all around me
My fingers scratching at an earth black and six foot low
Alone in the blackness of my grave
Alone I’d been left to die
Then I heard voices calling all around me
The earth rose above me
My eyes filled with sky

[Chorus]
We are alive
And though our bodies lie alone here in the dark
Our spirits rise
To carry the fire and light the spark
To stand shoulder to shoulder and heart to heart",Wrecking Ball,2012,We Are Alive
63,"[Verse 1]
I fell asleep on a dark and starlit sea
With nothing but the cloak of God's mercy over me
I come upon strange earth and a great black cave
I dreamt I awoke as if buried in my grave

[Chorus]
We've been swallowed up
We've been swallowed up
Disappeared from this world
We've been swallowed up

[Verse 2]
The bones of sailors from the north and sailors from the east
Lay high in a pyre in the belly of a beast
A beast should you wander in its path upon your ship and your flesh he'll sup
You'll disappear from this world until you've been swallowed up

[Chorus]
We've been swallowed up
We've been swallowed up
Disappeared from this world
We've been swallowed up

[Bridge]
We trusted our skills and our good sails
Our faith that with God the righteous in this world prevail
[Chorus]
We've been swallowed up
We've been swallowed up
Disappeared from this world
We've been swallowed up
We've been swallowed up
We've been swallowed up
Disappeared from this world
We've been swallowed up",Wrecking Ball,2012,Swallowed Up (In The Belly Of The Whale)
64,"[Verse 1]
What is this land America so many travel there
I'm going now while I'm still young my darling meet me there
Wish me luck my lovely I'll send for you when I can
And we'll make our home in the American land
Over there all the woman wear silk and satin to their knees
And children dear, the sweets, I hear, are growing on the trees
Gold comes rushing out the rivers straight into your hands
When you make your home in the American Land

[Chorus]
There's diamonds in the sidewalk the's gutters lined in song
Dear I hear that beer flows through the faucets all night long
There's treasure for the taking, for any hard working man
Who will make his home in the American Land

[Verse 2]
I docked at Ellis Island in a city of light and spires
She met me in the valley of red-hot steel and fire
We made the steel that built the cities with our sweat and two hands
And we made our home in the American Land

[Chorus]
There's diamonds in the sidewalk the's gutters lined in song
Dear I hear that beer flows through the faucets all night long
There's treasure for the taking, for any hard working man
Who will make his home in the American Land

[Verse 3]
The McNicholas, the Posalskis, the Smiths, Zerillis, too
The Blacks, the Irish, Italians, the Germans and the Jews
Come across the water a thousand miles from home
With nothing in their bellies but the fire down below
They died building the railroads worked to bones and skin
They died in the fields and factories names scattered in the wind
They died to get here a hundred years ago they're still dying now
The hands that built the country we’re always trying to keep down

[Chorus]
There's diamonds in the sidewalk the's gutters lined in song
Dear I hear that beer flows through the faucets all night long
There's treasure for the taking, for any hard working man
Who will make his home in the American Land",Wrecking Ball,2012,American Land
65,"[Verse 1]
Got a '32 Ford, she's a 318
Fuelie heads and a Hurst on the floor
She's waitin' tonight down in the parking lot
Outside the Seven-Eleven store
Me and my partner Sonny built her straight out of scratch
And he rides with me from town to town
We only run for the money, got no strings attached
We shut 'em up and we shut 'em down

[Chorus]
Tonight, tonight the strip's just right
I wanna blow 'em all out of their seats
Well, come on out around the world
We're goin' racin' in the street (Alright)

[Verse 2]
Well, we take all the action we can meet
And we cover all the northeast states
And when the strip shuts down we run 'em in the street
From the back roads to the turnpike gates
Well now, some guys they do it for the money
Other guys do it 'cause they don't know what else they can do
Well and they just hang around, nothing left at home
Wakin' up in a world that somebody else owns
[Chorus]
And tonight, tonight the strip's just right
I wanna blow 'em off in my first heat
Well now, summer's here and the time is right
For racin' in the street

[Verse 3]
I met her on the strip three years ago
In a Camaro with this dude from L.A. 
Well, I blew that Camaro off my back
And I stole that little girl away
But now there's wrinkles 'round my baby's eyes
She cries herself to sleep at night
And when I come home, the house is dark
She sighs, ""Baby, did you make it all right?""
Yeah, she sits on the porch of her daddy's house
Oh, but honey your pretty dress is torn
She stares out alone into the night
With the eyes of one who hates for just bein' born
For all the blown-off strangers and hot rod angels
Stumblin' through this promised land
Tonight my baby and me, we're gonna ride to the sea
And wash these sins off our hands

[Chorus]
Tonight, tonight the strip's just right
I wanna blow 'em off in my first heat
Well, come on out, the time is right
We're goin' racin' in the street (Oh)",The Promise,2010,Racing in the Street - '78
66,"[Verse 1]
Hey girl, now won't you come on out tonight
Yeah girl, where the stars are shinin' bright?

[Chorus]
Gotta get that feeling (Gotta get the feeling)
Yeah, we gotta get that feeling (Gotta get the feeling)
Woah, back again
Yeah, back again

[Verse 2]
Tonight, you know there's something here in the air
Tonight, we ain't got money but we don't care

[Chorus]
Just gotta get that feeling (Gotta get the feeling)
Yeah, I wanna get that feeling (Gotta get the feeling)
Before the night is through
I want you to get that feeling too

[Bridge]
Hold me in your arms, the night will take care of us
Come the rain or the storm, love will be there with us
Yeah yeah yeah yeah
Sha na na na
Sha na na na
Sha na na na
Sha na na na
Sha na na na
Sha na na na
Sha na na na
Sha na na na

[Verse 2]
Tonight, you know there's something in the air
Tonight, we ain't got money but we don't care

[Chorus]
Just gotta get that feeling (Gotta get the feeling)
Yeah, we gotta get that feeling (Gotta get the feeling)
Woah, back again
Yeah, back again (Back again)
Gotta get that feeling (Gotta get the feeling)
And I wanna get that feeling (Gotta get the feeling)
Gotta get that feeling (Gotta get the feeling)
And I wanna get that feeling (Gotta get the feeling)

[Outro]
Doo doo, doo doo doo
Doo doo, doo doo doo
Doo doo, doo doo doo
Doo doo, doo doo doo (Yeah yeah yeah)
Doo doo, doo doo doo
Doo doo, doo doo doo
Doo doo, doo doo doo (Come on darlin')
Doo doo, doo doo doo
Woah yeah",The Promise,2010,Gotta Get That Feeling
67,"[Verse 1]
It's all over now, the things we had
I ain't sorry, girl, I just feel mad
You walk real pretty and you talk real fine
But night after night, babe, I'm on the line
My life's the same story
Again and again

[Refrain]
I'm on the outside looking in (I'm on the outside looking in)

[Verse 2]
Well, every day just brings the same
You go out looking for some strange new games
But pretty soon them games ain't fun anymore
It's something else that you're looking for
You've got all the answers
You and your friends

[Refrain]
And I'm on the outside looking in (I'm on the outside looking in)
Yes, I'm on the outside looking in

[Saxophone Solo]

[Verse 3]
Now you've got the pretty things you want
The sins of the angels, baby, they will haunt
Those pretty eyes that they all adore
But baby not me, not anymore
I do what I want to
I'll be what I am
[Refrain]
I'm on the outside looking in (I'm on the outside looking in)
Yeah, I'm on the outside looking in (I'm on the outside looking in)
Baby, yes I am (I'm on the outside looking in)
Ah baby, yes I am (I'm on the outside looking in)
Well baby, I'm on the outside looking in",The Promise,2010,Outside Looking In
68,"[Verse 1]
Your voice comes calling through the mist
I awake from a dream and my heart begins to drift
Tonight we're on our own
Tonight we're all alone
Oh oh, tonight

[Chorus]
Someday we'll be together
And the night will fall around us
This love will last forever
Someday we'll be together
Together

[Verse 2]
I can't sleep so I lie awake, listen to the sounds of the city below
I get dressed and walk the streets but I got nowhere to go
Tonight it's you I miss
Tonight my only wish is
Oh oh, tonight

[Chorus]
Someday we'll be together
And the night will fall around us
This love will last forever
Someday you'll be mine

[Verse 3]
Tonight we're on our own
Tonight we're all alone
Oh oh, tonight

[Chorus]
Someday we'll be together
And the night will fall around us
This love will last forever
Someday you'll be mine

[Outro]
Woah
Someday you'll be mine
Woah (This love will last forever)
Someday you'll be mine
(Someday we'll be together)
(Night will fall around us)
(This love will last forever)
(Someday you'll be mine)
(Someday we'll be together)",The Promise,2010,Someday (We'll Be Together)
69,"[Verse 1]
Well, if the sun should fall from the sky tomorrow
If the rain brings a tear to your eye, I would share your sorrow
If you must go then take your leave
Our love was strong, our love was sweet

[Refrain]
But we were walking on the wild side
Running down a one way street

[Verse 2]
In the night I see only the fire in your eyes
The morning light brings the shadow of your lies
So the change has come today
And for our wrongs, well, we must pay

[Refrain]
We were walking on the wild side
Running down a one way street

[Saxophone Solo]

[Verse 3]
Oh my darling, I must, I must confess
This can't be love or I am just a man possessed
So the tide has turned today
We can turn and walk away
[Refrain]
'Cause we were walking on the wild side
Running down a one way street
Oh yes, we are
Girl, we're walking on the wild side
Running down a one way street",The Promise,2010,One Way Street
70,"[Verse 1]
Take me now, baby, here as I am
Hold me close, try and understand
Desire is hunger is the fire I breathe
Love is a banquet on which we feed

[Pre-Chorus]
Come on now, try and understand
The way I feel when I'm in your hands
Take my hand, come undercover
They can't hurt you now
They can't hurt you now
They can't hurt you now

[Chorus]
Because the night belongs to lovers
Because the night belongs to lust
Because the night belongs to lovers
Because the night belongs to us

[Verse 2]
Have I doubt when I'm alone
Love is a ring, the telephone
Love is an angel disguised as lust
Here in our bed 'til the morning comes
[Pre-Chorus]
Come on now, try and understand
The way I feel under your command
Take my hand as the sun descends
They can't touch you now
They can't touch you now
They can't touch you now

[Chorus]
Because the night belongs to lovers
Because the night belongs to lust
Because the night belongs to lovers
Because the night belongs to us

[Instrumental Break]

[Bridge]
With love we sleep
With doubt the vicious circle
Turns and burns
Without you I cannot live
Forgive me now
The time has come
To take the moment
And they can't hurt us now
They can't hurt us now
[Chorus]
Because the night belongs to lovers
Because the night belongs to lust
Because the night belongs to lovers
Because the night belongs to us",The Promise,2010,Because the Night
71,"[Verse 1]
Turn on the radio, turn off the lights
We'll bring an end, darling, to your endless night
Here on the wrong side of the street

[Verse 2]
I see your fortune in the lines in your face
I know you're looking for your saving grace
You're on the wrong side of the street

[Chorus]
Fear and desire, such a sweet confusion
Well, open your eyes and throw down your illusions
And see
You never belonged here with me

[Verse 3]
You and your poetry and your cool, cool world
Been working hard on that face of a martyr, girl
Here on the wrong side of the street

[Verse 4]
You got the look and you own your world
But here you better check your diamonds and your pearls
You're on the wrong side of the street
[Chorus]
You get bored of every day bringing the same
So you go out looking for some strange new game
But pretty soon
You don't know the score or what you're looking for

[Guitar Solo]

[Chorus]
You get bored of every day bringing the same
So you go out looking for some strange new game
But pretty soon
You don't know the score or what you came here for

[Verse 1]
Turn on the radio, turn off the lights
We'll bring an end, darling, to this endless night
Here on the wrong side of the street

[Chorus]
Fear and desire, such a sweet confusion
Well, open your eyes and throw down your illusions
And see
Tonight there's no one here but you and me",The Promise,2010,Wrong Side of the Street
